LayerIndex,SlitNo,CenterPosition,Beta,PixelNo,PixelValue
1,1,2.4999999999999998e-05,4.9999999999999996e-05,15,1
1,6,0.000525,4.9999999999999996e-05,2,1
1,7,0.000625,4.9999999999999996e-05,7,1
1,8,0.000725,4.9999999999999996e-05,1,1
1,10,0.0009249999999999999,4.9999999999999996e-05,3,1
1,12,0.001125,4.9999999999999996e-05,3,1
1,14,0.001325,4.9999999999999996e-05,10,1
1,15,0.0014249999999999998,4.9999999999999996e-05,8,0
1,16,0.0015249999999999999,4.9999999999999996e-05,5,0
1,21,0.002025,4.9999999999999996e-05,4,1
1,22,0.0021249999999999997,4.9999999999999996e-05,7,1
1,24,0.002325,4.9999999999999996e-05,12,1
1,26,0.002525,4.9999999999999996e-05,9,1
1,27,0.0026249999999999997,4.9999999999999996e-05,14,1
1,29,0.002825,4.9999999999999996e-05,12,1
1,30,0.002925,4.9999999999999996e-05,6,1
1,31,0.003025,4.9999999999999996e-05,13,1
1,33,0.003225,4.9999999999999996e-05,1,1
1,38,0.003725,4.9999999999999996e-05,9,1
1,39,0.003825,4.9999999999999996e-05,2,1
1,42,0.004125,4.9999999999999996e-05,4,1
1,45,0.004425,4.9999999999999996e-05,10,1
1,46,0.0045249999999999995,4.9999999999999996e-05,11,0
1,49,0.004824999999999999,4.9999999999999996e-05,8,0
1,50,0.004925,4.9999999999999996e-05,6,1
1,53,0.005225,4.9999999999999996e-05,5,0
1,56,0.0055249999999999995,4.9999999999999996e-05,15,1
1,57,0.005625,4.9999999999999996e-05,11,0
1,58,0.005725,4.9999999999999996e-05,14,1
1,59,0.0058249999999999994,4.9999999999999996e-05,13,1
2,2,0.000125,4.9999999999999996e-05,4,1
2,4,0.000325,4.9999999999999996e-05,15,1
2,5,0.000425,4.9999999999999996e-05,14,1
2,6,0.000525,4.9999999999999996e-05,10,1
2,8,0.000725,4.9999999999999996e-05,15,1
2,11,0.0010249999999999999,4.9999999999999996e-05,7,1
2,12,0.001125,4.9999999999999996e-05,2,1
2,13,0.001225,4.9999999999999996e-05,11,0
2,19,0.001825,4.9999999999999996e-05,9,1
2,21,0.002025,4.9999999999999996e-05,14,1
2,22,0.0021249999999999997,4.9999999999999996e-05,1,1
2,26,0.002525,4.9999999999999996e-05,1,1
2,27,0.0026249999999999997,4.9999999999999996e-05,9,1
2,28,0.002725,4.9999999999999996e-05,2,1
2,29,0.002825,4.9999999999999996e-05,6,1
2,30,0.002925,4.9999999999999996e-05,3,1
2,32,0.0031249999999999997,4.9999999999999996e-05,3,1
2,36,0.003525,4.9999999999999996e-05,13,1
2,38,0.003725,4.9999999999999996e-05,10,1
2,41,0.004025,4.9999999999999996e-05,5,0
2,42,0.004125,4.9999999999999996e-05,12,1
2,44,0.004325,4.9999999999999996e-05,6,1
2,45,0.004425,4.9999999999999996e-05,7,1
2,46,0.0045249999999999995,4.9999999999999996e-05,13,1
2,48,0.004725,4.9999999999999996e-05,12,1
2,50,0.004925,4.9999999999999996e-05,11,0
2,53,0.005225,4.9999999999999996e-05,4,1
2,55,0.005425,4.9999999999999996e-05,8,0
2,57,0.005625,4.9999999999999996e-05,5,0
2,60,0.005925,4.9999999999999996e-05,8,0
